Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
1,Jordyn Brooks,SEA,24,RILB,17,17,0,96,77,80.20%,865,11.2,9,4,118.1,5,314,551,46,3,2,1,6,184,9,4.70%
2,C.J. Mosley,NYJ,29,LLB,16,16,0,68,58,85.30%,525,9.1,7.7,3,113.5,3.6,220,305,50,0,1,2,3,168,18,9.70%
3,De'Vondre Campbell+,GNB,28,RILB,16,16,2,73,52,71.20%,356,6.8,4.9,1,74.9,3.3,153,203,43,1,4,2,7,146,4,2.70%
4,Foyesade Oluokun,ATL,26,RILB,17,17,3,63,51,81.00%,492,9.6,7.8,2,89.9,5.9,267,225,53,2,5,2,9,192,11,5.40%
5,Denzel Perryman*,LVR,29,MLB,15,15,0,80,63,78.80%,511,8.1,6.4,5,114.1,5.4,316,195,14,0,3,0,3,154,15,8.90%
6,Roquan Smith,CHI,24,RILB,17,17,1,66,47,71.20%,343,7.3,5.2,0,76.8,2.5,68,275,44,5,0,3,8,163,6,3.60%
7,Bobby Wagner*,SEA,31,LILB,16,16,1,87,71,81.60%,593,8.4,6.8,2,97.9,3.9,246,347,41,3,2,1,6,170,12,6.60%
8,Kyzir White,LAC,25,LILB,17,17,2,59,45,76.30%,358,8,6.1,2,88.1,2.7,111,247,31,2,3,1,6,144,8,5.30%
9,Bobby Okereke,IND,25,MLB,17,17,2,73,54,74.00%,427,7.9,5.8,4,94.9,3.6,150,277,38,1,1,1,3,132,11,7.70%
10,Deion Jones,ATL,27,LILB,16,16,0,84,66,78.60%,584,8.8,7,5,115.5,2.6,162,422,39,3,1,2,6,137,17,11.00%
11,Devin White*,TAM,23,LILB,17,17,0,78,64,82.10%,544,8.5,7,0,95.7,3.1,208,336,133,15,12,3.5,31,128,15,10.50%
12,Minkah Fitzpatrick,PIT,25,FS,16,16,2,56,35,62.50%,429,12.3,7.7,2,83.1,10.8,272,157,3,0,0,0,0,124,13,9.50%
13,Cole Holcomb,WAS,25,LLB,16,16,2,81,60,74.10%,579,9.7,7.1,3,95.7,5.7,262,317,52,4,1,1,6,142,12,7.80%
14,Harrison Smith*,MIN,32,SS,15,15,1,40,29,72.50%,368,12.7,9.2,1,98.7,12,283,85,40,1,2,3,6,114,7,5.80%
15,Kenny Moore*,IND,26,RCB,17,16,4,121,81,66.90%,763,9.4,6.3,6,86.9,7.1,378,385,19,0,0,1,1,102,13,11.30%
16,Eric Kendricks,MIN,29,MLB,15,15,2,58,43,74.10%,485,11.3,8.4,3,101.6,5.9,214,271,67,2,0,5,7,143,15,9.50%
17,Alex Singleton,PHI,28,RLB,16,8,1,74,63,85.10%,494,7.8,6.7,5,111.4,2.1,112,382,19,1,2,0,3,137,20,12.70%
18,Jalen Thompson,ARI,23,FS,17,12,3,61,41,67.20%,502,12.2,8.2,5,99.2,10.1,356,146,5,0,2,0,2,121,7,5.50%
19,Fred Warner,SFO,25,MLB,16,16,0,62,49,79.00%,428,8.7,6.9,3,111.6,3.1,135,293,28,1,2,0.5,4,137,11,7.40%
20,Logan Ryan,NYG,30,SS/FS,15,15,0,52,35,67.30%,442,12.6,8.5,2,106.4,9.5,316,126,31,4,1,1,6,117,8,6.40%
21,Adrian Amos,GNB,28,SS,17,17,2,63,39,61.90%,442,11.3,7,6,101.4,9.7,259,183,7,0,0,0,0,93,8,7.90%
22,Jeremy Chinn,CAR,23,FS,16,16,1,51,33,64.70%,303,9.2,5.9,5,105.3,6.3,141,162,46,4,4,1,9,107,12,10.10%
23,Jordan Hicks,ARI,29,RILB,17,17,0,62,45,72.60%,414,9.2,6.7,3,106.5,3.5,123,291,49,3,1,4,8,116,9,7.20%
24,Derwin James*,LAC,25,SS,15,15,2,60,34,56.70%,327,9.6,5.5,1,63.7,7.5,163,164,21,2,4,2,9,118,9,7.10%
25,Shaquille Leonard*+,IND,26,LLB,16,16,4,61,43,70.50%,435,10.1,7.1,3,79.6,4.6,163,272,42,2,3,0,5,122,6,4.70%
26,Tracy Walker,DET,26,SS,15,15,1,48,30,62.50%,440,14.7,9.2,2,97.6,13.5,307,133,10,0,0,1,1,108,11,9.20%
27,Quincy Williams,NYJ,25,MLB,16,13,0,51,34,66.70%,273,8,5.4,0,79.9,3.1,22,251,37,0,2,2,4,110,12,9.80%
28,Xavier Woods,MIN,26,FS,17,17,3,50,30,60.00%,525,17.5,10.5,6,110.4,13.7,346,179,8,0,0,1,1,108,7,6.10%
29,Kamu Grugier-Hill,HOU,27,LLB,14,14,1,47,37,78.70%,307,8.3,6.5,2,99.2,4.4,150,157,31,2,2,3,7,108,10,8.50%
30,Nick Bolton,KAN,21,RLB,16,12,0,45,36,80.00%,429,11.9,9.5,1,113.8,4.3,145,284,35,5,3,0,8,112,4,3.40%
31,Demario Davis,NOR,32,MLB,16,16,0,59,40,67.80%,334,8.4,5.7,0,82.2,5.6,155,179,51,1,6,3,10,105,9,7.90%
32,Kyle Dugger,NWE,25,DB,15,13,4,50,32,64.00%,295,9.2,5.9,3,66.7,7.6,177,118,11,0,2,0,2,92,9,8.90%
33,Tremaine Edmunds,BUF,23,MLB,15,15,1,59,46,78.00%,498,10.8,8.4,2,106.1,4.7,169,329,54,6,1,0,7,108,10,8.50%
34,Joe Schobert,PIT,28,LILB,16,15,1,48,34,70.80%,353,10.4,7.4,1,90,5.3,172,181,24,1,1,0,2,112,9,7.40%
35,Isaiah Simmons,ARI,23,LILB,17,17,1,71,49,69.00%,473,9.7,6.7,2,90.9,5.8,204,269,59,2,2,1.5,6,105,11,9.50%
36,Nasir Adderley,LAC,24,FS,15,15,0,49,30,61.20%,398,13.3,8.1,6,126.5,11.3,249,149,3,0,1,0.5,2,99,16,13.90%
37,Anthony Walker,CLE,26,MLB,13,12,0,40,33,82.50%,277,8.4,6.9,0,95.5,2.3,46,231,15,3,0,1,4,113,7,5.80%
38,Ja'Whaun Bentley,NWE,25,LILB,16,16,0,43,29,67.40%,299,10.3,7,0,87.3,6.3,125,174,32,3,5,1,9,109,8,6.80%
39,Desmond King,HOU,27,LCB,16,12,3,100,66,66.00%,752,11.4,7.5,5,92.6,8.5,447,305,6,0,0,0,0,93,9,8.80%
40,Patrick Queen,BAL,22,RILB,17,17,0,52,43,82.70%,451,10.5,8.7,2,115.6,3.8,112,339,46,2,1,2,5,98,14,12.50%
41,Jessie Bates III,CIN,24,FS,15,15,1,45,36,80.00%,538,14.9,12,2,122,12,417,121,10,2,0,0,2,88,7,7.40%
42,Jayron Kearse,DAL,27,SS,16,15,2,65,40,61.50%,416,10.4,6.4,2,77.5,6.8,179,237,24,2,5,1,8,101,4,3.80%
43,Quandre Diggs*,SEA,28,FS,17,17,5,44,29,65.90%,406,14,9.2,1,63.4,14,290,116,2,0,0,0,0,94,11,10.50%
44,Bryce Hall,NYJ,24,LCB,17,17,0,109,69,63.30%,794,11.5,7.3,7,106.6,12.7,569,225,11,1,1,0.5,3,79,5,6.00%
45,Jordan Poyer+,BUF,30,SS,16,16,5,40,22,55.00%,245,11.1,6.1,1,42.2,11,144,101,27,5,0,3,8,93,12,11.40%
46,Shaq Thompson,CAR,27,LLB,14,13,2,56,39,69.60%,306,7.8,5.5,0,68,3.6,127,179,45,0,4,2,6,104,14,11.90%
47,Johnathan Abram,LVR,25,SS,14,14,1,72,57,79.20%,483,8.5,6.7,5,112,6.1,251,232,23,2,3,0,5,116,14,10.80%
48,Vonn Bell,CIN,27,SS,16,16,1,57,43,75.40%,525,12.2,9.2,3,113.6,8.9,280,245,24,5,0,0.5,6,97,10,9.30%
49,Tae Crowder,NYG,24,RILB,17,17,2,74,59,79.70%,525,8.9,7.1,4,103,4.4,217,308,37,4,1,0,5,130,8,5.80%
50,T.J. Edwards,PHI,25,MLB,16,14,1,52,41,78.80%,351,8.6,6.8,2,99.6,4.3,146,205,12,0,1,1,2,130,9,6.50%
51,Kendall Fuller,WAS,26,LCB,16,16,1,113,76,67.30%,805,10.6,7.1,4,95.9,9.4,535,270,6,1,0,1,2,77,9,10.50%
52,Micah Parsons*+,DAL,22,LLB,16,16,0,36,22,61.10%,160,7.3,4.4,0,71.5,3.1,37,123,114,16,17,13,47,84,10,10.60%
53,Taylor Rapp,LAR,24,FS,17,17,4,58,43,74.10%,565,13.1,9.7,4,98.7,8.5,312,253,17,0,1,1.5,3,94,11,10.50%
54,Budda Baker*,ARI,25,SS,17,17,3,32,22,68.80%,248,11.3,7.8,2,73.4,10.8,175,73,35,3,1,2,6,98,12,10.90%
55,Lavonte David,TAM,31,RILB,12,12,0,67,54,80.60%,401,7.4,6,3,106.5,2.7,109,292,41,1,2,2,5,97,9,8.50%
56,Terrell Edmunds,PIT,24,SS,17,17,2,53,30,56.60%,224,7.5,4.2,2,63.7,5.8,111,113,10,2,0,1,3,89,10,10.10%
57,Jordan Fuller,LAR,23,SS,16,16,1,63,42,66.70%,567,13.5,9,2,99.1,11.2,351,216,2,0,0,0,0,113,9,7.40%
58,Jerome Baker,MIA,25,LLB,16,16,1,69,48,69.60%,405,8.4,5.9,2,88.1,4.8,156,249,91,3,9,5.5,18,92,7,7.10%
59,Kamren Curl,WAS,22,FS,16,14,0,59,35,59.30%,347,9.9,5.9,3,93,8.3,230,117,22,1,1,1,3,99,6,5.70%
60,Will Harris,DET,26,FS,17,17,0,79,58,73.40%,732,12.6,9.3,5,123,10.1,476,256,16,0,0,0.5,1,93,5,5.10%
61,Myles Jack,JAX,26,RILB,15,15,0,60,47,78.30%,439,9.3,7.3,2,108.3,5.4,174,265,53,3,1,0,4,108,4,3.60%
62,Kareem Jackson,DEN,33,SS,15,15,1,36,28,77.80%,343,12.3,9.5,2,113.3,9.6,203,140,1,0,0,1,1,88,11,11.10%
63,Jalen Ramsey*+,LAR,27,RCB,16,16,4,98,58,59.20%,624,10.8,6.4,3,71.1,8.4,321,303,16,3,1,0,4,77,5,6.10%
64,D.J. Reed,SEA,25,RCB,14,14,2,88,42,47.70%,507,12.1,5.8,3,67.8,10.6,344,163,0,0,0,0,0,78,6,7.10%
65,Antoine Winfield Jr.*,TAM,23,SS,13,13,2,45,33,73.30%,358,10.8,8,2,92.6,10.6,233,125,21,2,1,2,5,88,12,12.00%
66,Tyrann Mathieu*,KAN,29,SS,16,16,3,52,36,69.20%,419,11.6,8.1,3,88.5,5.9,175,244,34,5,0,1,6,76,8,9.50%
67,Justin Simmons,DEN,28,FS,17,17,5,54,32,59.30%,455,14.2,8.4,3,66.5,9.4,222,233,7,1,0,1.5,3,80,6,7.00%
68,Darious Williams,LAR,28,LCB,14,13,0,92,57,62.00%,610,10.7,6.6,4,95.8,10.3,409,201,0,0,0,0,0,71,6,7.80%
69,Anthony Brown,DAL,28,RCB,16,16,3,122,65,53.30%,836,12.9,6.9,5,78.4,12.2,518,318,0,0,0,0,0,71,6,7.80%
70,Xavier McKinney,NYG,22,FS/SS,17,16,5,56,38,67.90%,443,11.7,7.9,3,72.2,9.6,252,191,3,1,0,0,1,93,10,9.70%
71,Damien Wilson,JAX,28,LILB,17,17,1,46,32,69.60%,338,10.6,7.3,1,88.9,7.3,199,139,43,2,2,3,7,106,13,10.90%
72,Azeez Al-Shaair,SFO,24,LLB,13,13,1,66,53,80.30%,409,7.7,6.2,3,101.3,1.5,62,347,25,2,0,2,5,102,12,10.50%
73,Krys Barnes,GNB,23,LILB,16,13,0,54,47,87.00%,410,8.7,7.6,2,110.6,2.6,111,299,14,1,0,1,2,81,10,11.00%
74,Jordan Whitehead,TAM,24,FS,14,14,2,57,36,63.20%,308,8.6,5.4,0,62.6,6.1,145,163,30,2,1,0,3,73,11,13.10%
75,Kevin Byard*+,TEN,28,SS,17,17,5,58,30,51.70%,428,14.3,7.4,5,68.7,10.2,258,170,19,1,2,1,4,88,2,2.20%
76,Matt Milano,BUF,27,LLB,16,16,0,58,32,55.20%,252,7.9,4.3,1,71.9,4.3,93,159,58,4,3,3,10,86,11,11.30%
77,Germaine Pratt,CIN,25,MLB,15,15,1,48,37,77.10%,344,9.3,7.2,2,101.4,2.8,99,245,34,1,1,0.5,3,91,8,8.10%
78,L'Jarius Sneed,KAN,24,RCB,15,15,2,80,55,68.80%,585,10.6,7.3,3,91.9,7.5,309,276,47,4,2,1,7,76,11,12.60%
79,Logan Wilson,CIN,25,LLB,13,13,4,55,47,85.50%,465,9.9,8.5,3,89.8,3.9,163,302,24,2,1,1,4,100,13,11.50%
80,Andrew Wingard,JAX,25,SS,15,15,1,29,21,72.40%,213,10.1,7.3,4,118.2,7.7,110,103,13,1,0,1,2,88,17,16.20%
81,Jamal Adams,SEA,26,SS,12,12,2,51,30,58.80%,403,13.4,7.9,4,93.8,8.2,176,227,44,5,1,0,6,87,7,7.40%
82,Rayshawn Jenkins,JAX,27,SS,14,14,0,45,28,62.20%,384,13.7,8.5,1,96.9,11.2,232,152,17,1,1,0,2,73,8,9.90%
83,Adrian Phillips,NWE,29,SS,17,13,4,57,34,59.60%,310,9.1,5.4,4,68.6,6.2,163,147,16,2,1,0,3,92,7,7.10%
84,Paulson Adebo,NOR,22,LCB,17,17,3,89,55,61.80%,715,13,8,5,91.7,11.9,482,233,0,0,0,0,0,66,10,13.20%
85,Christian Kirksey,HOU,29,MLB,13,12,1,40,28,70.00%,373,13.3,9.3,1,97.2,9.2,208,165,24,0,2,0,2,93,8,7.90%
86,Marshon Lattimore*,NOR,25,RCB,16,16,3,106,61,57.50%,826,13.5,7.8,7,92.7,12.6,523,303,3,0,1,0,1,68,3,4.20%
87,Alec Ogletree,CHI,30,LILB,16,16,0,34,26,76.50%,248,9.5,7.3,1,106,6.6,94,154,19,1,2,0,3,87,10,10.30%
88,Eddie Jackson,CHI,28,FS,14,14,0,41,27,65.90%,463,17.1,11.3,6,143.6,12,326,137,5,0,0,0,0,76,8,9.50%
89,Chidobe Awuzie,CIN,26,RCB,14,14,2,91,53,58.20%,494,9.3,5.4,3,75.1,11.9,301,193,1,0,0,0,0,64,5,7.20%
90,Cameron Heyward*+,PIT,32,RDE,17,17,1,3,1,33.30%,7,7,2.3,0,2.8,-4,-4,11,0,15,6,10,32,89,5,5.30%
91,Micah Hyde,BUF,31,FS,17,17,5,45,29,64.40%,371,12.8,8.2,3,72.8,12.5,290,81,34,3,1,1,5,74,11,12.90%
92,Malcolm Jenkins,NOR,34,SS,16,16,1,68,39,57.40%,413,10.6,6.1,2,78.9,8.4,218,195,39,4,1,1,6,79,12,13.20%
93,Taron Johnson,BUF,25,RLB,16,15,1,69,38,55.10%,396,10.4,5.7,2,75.5,6.1,148,248,18,2,0,3,5,76,13,14.60%
94,Avonte Maddox,PHI,25,LB,16,5,1,74,56,75.70%,412,7.4,5.6,1,87.2,4.6,177,235,12,0,2,0.5,3,73,7,8.80%
95,Jalen Reeves-Maybin,DET,26,RILB,15,11,0,38,26,68.40%,187,7.2,4.9,2,97.1,2.9,36,151,46,2,1,0,3,82,9,9.90%
96,Rasul Douglas,GNB,27,RCB,12,9,5,64,32,50.00%,351,11,5.5,2,44.5,11.4,267,84,0,0,0,0,0,57,5,8.10%
97,AJ Terrell,ATL,23,LCB,16,16,3,86,43,50.00%,417,9.7,4.8,3,61,9.6,218,199,4,0,0,1,1,81,6,6.90%
98,Marcus Williams,NOR,25,FS,16,16,2,43,21,48.80%,401,19.1,9.3,3,85.5,17,323,78,1,0,0,0,0,74,7,8.60%
99,Landon Collins,WAS,27,SS,13,13,2,61,43,70.50%,508,11.8,8.3,8,121.4,6.1,294,214,25,0,0,3,3,81,13,13.80%
100,Zach Cunningham,2TM,27,LB/RLB,14,11,0,51,42,82.40%,341,8.1,6.7,2,107.6,4,146,195,27,0,1,0,1,93,16,14.70%
