Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jordyn Brooks,SEA,24,RILB,17,17,0,0,0,0,5,0,0,1,5,0,1,184,109,75,10,3,
2,C.J. Mosley,NYJ,29,LLB,16,16,0,0,0,0,2,2,0,0,0,0,2,168,103,65,2,3,
3,De'Vondre Campbell+,GNB,28,RILB,16,16,2,15,0,13,5,2,0,1,3,0,2,146,102,44,6,6,
4,Foyesade Oluokun,ATL,26,RILB,17,17,3,80,0,56,6,1,0,0,0,0,2,192,102,90,4,7,
5,Denzel Perryman*,LVR,29,MLB,15,15,0,0,0,0,3,1,0,2,1,0,0,154,102,52,5,3,
6,Roquan Smith,CHI,24,RILB,17,17,1,53,1,53,3,,,,,0,3,163,95,68,12,4,
7,Bobby Wagner*,SEA,31,LILB,16,16,1,3,0,3,5,1,0,0,0,0,1,170,93,77,3,3,
8,Kyzir White,LAC,25,LILB,17,17,2,22,0,22,3,2,0,0,0,0,1,144,90,54,7,4,
9,Bobby Okereke,IND,25,MLB,17,17,2,20,0,16,4,,,,,0,1,132,89,43,3,2,
10,Deion Jones,ATL,27,LILB,16,16,0,0,0,0,6,1,0,0,0,0,2,137,87,50,8,4,
11,Devin White*,TAM,23,LILB,17,17,0,0,0,0,3,0,0,1,5,0,3.5,128,87,41,8,18,
12,Minkah Fitzpatrick,PIT,25,FS,16,16,2,18,0,18,7,1,0,1,-1,0,0,124,84,40,1,0,
13,Cole Holcomb,WAS,25,LLB,16,16,2,54,1,31,7,2,0,1,0,0,1,142,83,59,2,2,
14,Harrison Smith*,MIN,32,SS,15,15,1,10,0,10,7,1,0,0,0,0,3,114,83,31,3,5,
15,Kenny Moore*,IND,26,RCB,17,16,4,78,0,32,13,1,0,0,0,0,1,102,82,20,6,1,
16,Eric Kendricks,MIN,29,MLB,15,15,2,22,0,22,4,0,0,1,2,0,5,143,81,62,8,5,
17,Alex Singleton,PHI,28,RLB,16,8,1,29,1,29,4,1,0,1,0,0,0,137,81,56,4,2,
18,Jalen Thompson,ARI,23,FS,17,12,3,49,0,33,7,,,,,0,0,121,79,42,3,2,
19,Fred Warner,SFO,25,MLB,16,16,0,0,0,0,4,1,0,3,0,0,0.5,137,79,58,7,3,
20,Logan Ryan,NYG,30,SS/FS,15,15,0,0,0,0,8,2,0,1,0,0,1,117,77,40,2,3,
21,Adrian Amos,GNB,28,SS,17,17,2,0,0,0,8,,,,,0,0,93,75,18,0,0,
22,Jeremy Chinn,CAR,23,FS,16,16,1,0,0,0,5,1,0,1,16,0,1,107,75,32,6,5,
23,Jordan Hicks,ARI,29,RILB,17,17,0,0,0,0,5,1,0,2,0,0,4,116,75,41,7,5,
