"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"1","Nick Bosa","SF",12,13,20.6081912155645,0.677264500042027,98,85.9,99.5,98.7
"2","Robert Quinn","CHI",4,5,52.3466004422309,5.09106587842145,91.7,81.8,96.2,93.8
"3","Gregory Rousseau","BUF",14,16,58.5384746612107,6.63838372446719,91.6,81.8,95,93.1
"4","Shaquil Barrett","TB",27,29,69.2536952198138,10.0994972195562,90.5,82.3,94,93.5
"5","Jonathan Greenard","HOU",6,9,60.8968896649849,7.30762675979819,90.2,78.3,93.2,76.8
"6","Trey Hendrickson","CIN",16,17,67.004977061216,9.27761220847606,89.9,81.9,94.5,92.8
"7","Myles Garrett","CLE",11,14,65.4929768690786,8.75574557073244,89.7,78.9,92.9,78.3
"8","Chandler Jones","LV",16,21,68.3583516399601,9.76547880570859,89.6,77.5,91.4,64.6
"9","Micah Parsons","DAL",28,30,75.3394473458521,12.6345657039628,89.1,81.1,92.9,88
"10","Rashan Gary","GB",24,28,74.3909769938135,12.206568980409,89,78.9,91.6,73.2
"11","Cameron Jordan","NO",31,37,77.2761362762063,13.5507916692874,88.9,78,90.4,61.1
"12","Maxx Crosby","LV",40,48,82.4662682475342,16.3258094500195,88.2,77,89,44.8
"13","Randy Gregory","DEN",8,9,70.4792844606295,10.5718926690944,88.1,79.5,93.2,82.1
"14","Von Miller","BUF",9,12,77.5504125673083,13.6853669236426,86.3,76.2,90.3,50.8
"15","Deatrich Wise","NE",27,29,87.2311767801538,19.3847059511453,85.5,77.7,89.8,55.3
"16","Pete Werner","NO",73,81,97.9234602977834,29.290952323572,85.4,76.6,87,24.4
"17","Marcus Davenport","NO",17,18,84.657436934422,17.6623429575413,85.2,77.5,90.4,58.3
"18","Divine Deablo","LV",72,79,98.2032059031448,29.6452883967877,85.2,76.8,87.2,26.9
"19","J.J. Watt","ARI",11,12,83.0589195578135,16.6765472016663,84.9,76.9,90.3,54.6
"20","Zaven Collins","ARI",63,76,97.6171440450838,28.9113927170875,84.7,73.5,84.6,4.3
"21","Alex Singleton","DEN",62,70,97.8721622594422,29.2267853987703,84.5,75.4,86.3,15.1
"22","Josh Allen","JAX",19,23,87.8711923700687,19.84188214808,84.3,74.7,87.9,26.4
"23","Nicholas Morrow","CHI",58,68,97.737750162075,29.059812276931,84.3,74.1,85.3,7.4
"24","T.J. Watt","PIT",5,5,83.0589195578135,16.6765472016663,84.1,76.5,90.4,53.5
"25","Germaine Pratt","CIN",57,64,98.1112793938176,29.5280170258649,84,75.1,86.2,14
"26","Denico Autry","TEN",10,13,85.532586988746,18.2282562435032,84,74.4,88.2,28.3
"27","Emmanuel Ogbah","MIA",10,10,85.662757910147,18.3141068635487,83.9,76.7,90.1,51.7
"28","Christian Kirksey","HOU",54,60,97.9300334797464,29.2991923296968,83.8,75.3,86.4,16
"29","Alex Highsmith","PIT",23,25,91.0610329960034,22.3223543920164,83.6,75.7,88.3,32.9
"30","Quincy Williams","NYJ",48,57,97.8298374369778,29.1740275745854,83.3,73.1,84.8,5
"31","Samson Ebukam","SF",21,24,91.4977533628608,22.6914428339895,83.2,74.5,87.4,22.4
