"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"1","De'Vondre Campbell","GB",63,72,79.762110513727,14.8174671705343,90.6,80,90.6,66.7
"2","Roquan Smith","CHI",77,84,95.8415328148284,26.8646720768837,86.5,78.3,88.3,35.7
"3","Rashaan Evans","ATL",83,89,97.0630696932061,28.2458668419383,86.4,78.8,88.6,41.6
"4","Jordan Hicks","MIN",74,79,95.6584520329294,26.6669341984381,86.4,78.9,89,45.9
"5","Jordyn Brooks","SEA",82,92,97.5254908910983,28.7994738201901,86.2,76.9,87,17.5
"6","Bobby Okereke","IND",71,75,96.4351507360286,27.5219418954509,85.9,78.8,88.9,44.1
"7","Kyzir White","PHI",53,60,94.4784576079055,25.4440940113148,85.3,76,87.2,17.5
"8","Demario Davis","NO",43,49,92.6994903677288,23.749456209914,85.1,75.8,87.5,19.1
"9","C.J. Mosley","NYJ",87,95,100.48905529024,32.8712279686122,85.1,76.9,86.8,15.7
"10","Lavonte David","TB",60,61,96.814450072233,27.9555402944138,84.9,78.9,89.3,48.3
"11","Myles Jack","PIT",66,72,98.6220965925209,30.1904377324043,84.5,76.4,87,16.2
"12","Tremaine Edmunds","BUF",62,67,98.0414078123763,29.4394309960028,84.5,76.6,87.3,19.7
"13","Devin White","TB",63,69,98.6040096464994,30.1665234991574,84.3,76,86.8,14.1
"14","Ja'Whaun Bentley","NE",49,51,96.0645120437775,27.1086157274221,84.3,77.4,88.4,32.7
"15","Cole Holcomb","WAS",70,74,100.339470700477,32.6389424762851,83.9,76.8,87.2,19
"16","Nick Bolton","KC",69,71,100.491756708096,32.8754550217628,83.8,77.5,87.8,26.5
"17","Patrick Queen","BAL",53,62,98.2481524584828,29.7029298130297,83.6,73.6,85,3.5
"18","Josh Bynes","BAL",28,31,92.6447202406402,23.6998121545824,83.6,75.3,87.6,19.4
"19","Mykal Walker","ATL",68,75,101.199921370438,34.0257912841562,83.3,74.9,85.5,5.7
"20","Foyesade Oluokun","JAX",85,96,103.200771758571,37.8750307127414,83.2,74,84.3,1.7
"21","Devin Lloyd","JAX",66,78,101.075986119342,33.8180841346764,83.2,72.7,83.7,0.9
"22","Shaq Thompson","CAR",65,74,100.943295947217,33.5988275176457,83.2,73.9,84.8,2.8
"23","Quay Walker","GB",56,61,99.8764995518897,31.9411014228269,83,75,86.1,8.3
"24","Drue Tranquill","LAC",62,75,101.097719758654,33.8543016854798,82.8,71.8,83,0.4
"25","Dre Greenlaw","SF",48,52,99.6429900389562,31.6004740816642,82.4,74.6,86,7.5
"26","Cody Barton","SEA",55,58,100.9389812633,33.5917509181368,82.3,75.2,86.2,9.3
"27","Denzel Perryman","LV",38,45,98.2660654659689,29.7259581467382,82.1,72.4,84.5,2.2
"28","Logan Wilson","CIN",51,53,100.809958071001,33.3816431872995,82,75.2,86.4,10.2
"29","Ernest Jones","LA",53,57,101.150043998811,33.9418550078485,82,74.3,85.6,5.5
"30","Jerome Baker","MIA",49,56,100.811638804193,33.3843616556936,81.8,72.7,84.3,1.7
"31","Fred Warner","SF",54,57,101.649948106502,34.805311029664,81.7,74.6,85.7,6.4
"32","Bobby Wagner","LA",63,64,103.418468560014,38.3680570740543,81.3,75.2,85.9,7.8
"33","Devin Bush","PIT",42,43,100.515095373335,32.9120223788796,81.2,74.7,86.2,9
"34","Frankie Luvu","CAR",44,56,100.943295947217,33.5988275176457,81.2,69.8,81.8,0.1
"35","Jonas Griffith","DEN",41,46,100.519815137073,32.919427879758,81.1,72.6,84.5,2.2
"36","Jacob Phillips","CLE",43,49,101.249199898208,34.1091836743178,80.9,72,83.9,1.2
"37","Malcolm Rodriguez","DET",42,48,101.127236832921,33.9036295268715,80.8,72,83.9,1.2
"38","Eric Kendricks","MIN",65,75,104.155505161751,40.2003704133075,80.8,71.3,82.4,0.2
"39","Kamu Grugier-Hill","HOU",38,44,100.578746006312,33.012192534096,80.8,71.7,83.8,1.1
"40","Josey Jewell","DEN",35,40,100.519815137073,32.919427879758,80.5,71.7,83.9,1.3
"41","T.J. Edwards","PHI",74,82,105.252096437464,43.6541774028159,80.4,72,82.8,0.3
"42","Kenneth Murray","LAC",37,42,101.097719758654,33.8543016854798,80.3,71.7,83.8,1.1
"43","Darius Harris","KC",30,32,100.491756708096,32.8754550217628,79.9,72.4,84.8,2.8
"44","Jahlani Tavai","NE",29,29,100.588148218317,33.0270444539338,79.7,73.2,85.5,5
"45","Duke Riley","MIA",27,29,100.811638804193,33.3843616556936,79.3,71.7,84.3,1.8
"46","Dylan Cole","TEN",24,30,100.380836431814,32.7028318867149,79.2,69.5,82.5,0.3
"47","Ben Niemann","ARI",22,23,100.051063633822,32.2006043654118,79.1,71.9,84.7,2.6
"48","Robert Spillane","PIT",23,25,100.389587460551,32.7163815081381,79,71.3,84.1,1.6
"49","Troy Andersen","ATL",27,33,101.199921370438,34.0257912841562,79,69.5,82.3,0.2
"50","Roquan Smith","BAL",5,5,95.8415328148284,26.8646720768837,79,71.5,85.6,4.9
"51","Krys Barnes","GB",8,8,97.0384045476483,28.2168410386779,78.8,71.5,85.3,4.1
"52","Jaylon Smith","NYG",25,26,101.298234518032,34.1926272936644,78.7,71.5,84.2,1.7
"53","Anthony Walker","CLE",14,16,99.1299230121131,30.8765333972156,78.6,70.4,83.9,1.3
"54","Derrick Barnes","DET",23,27,101.127236832921,33.9036295268715,78.5,69.8,82.8,0.4
"55","David Long","TEN",60,69,105.700082565914,45.545564032467,78.4,69.3,80.7,0
"56","Blake Martinez","LV",20,22,101.014867076231,33.7166967412835,78.2,70.4,83.4,0.8
