"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"1","Fletcher Cox","PHI",16,17,64.2170557454728,8.33351105093923,90.6,82.5,95,99.8
"2","Ed Oliver","BUF",9,10,64.8095775436387,8.52757599258404,89.6,81,94.4,99.4
"3","D.J. Jones","DEN",21,24,79.4598519033444,14.6576425841121,87.3,78.1,90.9,97.3
"4","Quinnen Williams","NYJ",24,26,85.0859918256045,17.9370469253977,85.9,77.9,90.2,96.8
"5","Chris Jones","KC",10,11,88.2069547401858,20.0867322675671,83,75,88.6,87.5
"6","Maliek Collins","HOU",12,12,90.6853460255322,22.0110063168768,82.3,75.2,88.5,88.1
"7","DeForest Buckner","IND",33,34,97.175363586254,28.3786460030653,82.1,75.2,87.2,85.9
"8","Grover Stewart","IND",45,48,102.306679190594,36.0234785882373,80.4,72.9,84.6,61.6
"9","Aaron Donald","LA",29,30,100.594088306226,33.0364349049968,79.7,72.7,85,62.8
"10","Jarran Reed","GB",27,29,100.602640623015,33.0499649700158,79.4,71.8,84.4,53.7
"11","Jonathan Allen","WAS",26,29,100.441679435933,32.797283081121,79.4,71.3,84,47.3
"12","Christian Wilkins","MIA",40,42,103.048963520158,37.5420348051497,79.2,72.1,84,52.3
"13","Vita Vea","TB",20,21,100.042340961893,32.1875357877394,78.9,71.5,84.5,52.3
"14","Davon Godchaux","NE",30,32,102.39790462231,36.2012794119279,78.5,71.1,83.5,43.1
"15","B.J. Hill","CIN",33,34,103.014726775954,37.4680914224523,78.4,71.5,83.8,47.3
"16","Zach Sieler","MIA",28,33,102.39790462231,36.2012794119279,78.3,69.3,82.1,24.7
"17","Cameron Heyward","PIT",30,31,102.782711025767,36.977562498581,78.2,71.2,83.7,44.9
"18","A'Shawn Robinson","LA",33,36,103.355732540322,38.2240144019319,78.1,70.3,82.7,32.9
"19","Davon Hamilton","JAX",31,34,103.27006001739,38.0299024893228,77.9,70.1,82.5,30.8
"20","Khalen Saunders","KC",26,27,102.820076116249,37.0553539276585,77.7,70.6,83.2,38.2
"21","Sebastian Joseph","LAC",27,31,103.252728473912,37.9909885362276,77.4,69,81.7,21.2
"22","Jeffery Simmons","TEN",22,27,102.776465902958,36.9646043305765,77.1,68,81.1,15.2
"23","Roy Robertson-Harris","JAX",25,29,103.27006001739,38.0299024893228,77.1,68.6,81.5,18.7
"24","Grady Jarrett","ATL",25,27,103.357490133128,38.2280276983871,77.1,69.4,82.2,26.4
"25","Justin Jones","CHI",20,22,102.602154735088,36.6078334390045,77,69.2,82.3,26
"26","Dexter Lawrence","NYG",24,29,103.394980517787,38.3139365190453,76.9,67.9,80.9,13.5
"27","Sheldon Rankins","NYJ",21,25,102.927926250928,37.2824563392371,76.9,68.2,81.3,16.7
"28","Hassan Ridgeway","SF",17,17,102.247348779082,35.9090427743878,76.9,69.9,83.1,34.9
"29","Javon Hargrave","PHI",20,23,102.871411345706,37.1629705908573,76.8,68.5,81.7,19.7
"30","Rakeem Nunez-Roches","TB",17,18,102.353462306158,36.1143771557775,76.8,69.3,82.6,28.7
"31","Al Woods","SEA",22,23,103.207626834719,37.890270518873,76.8,69.5,82.5,28.4
"32","Leki Fotu","ARI",18,20,102.579232909468,36.561605600314,76.7,68.8,82.1,23.5
"33","Broderick Washington","BAL",21,24,103.092280711236,37.6361899613879,76.7,68.5,81.6,19.3
"34","Lawrence Guy","NE",19,19,102.889158990053,37.200378112903,76.6,69.8,82.8,32
"35","Austin Johnson","LAC",20,24,103.252728473912,37.9909885362276,76.4,67.7,80.9,13.7
"36","Justin Madubuike","BAL",19,22,103.092280711236,37.6361899613879,76.4,68.1,81.4,17
"37","Harrison Phillips","MIN",20,21,103.334405211391,38.1754159229633,76.4,69,82.1,24.4
"38","Zach Carter","CIN",18,22,103.014726775954,37.4680914224523,76.4,67.5,80.9,13.2
"39","Angelo Blackson","CHI",15,18,102.602154735088,36.6078334390045,76.3,67.8,81.3,15.8
"40","Matt Ioannidis","CAR",18,22,103.176252499317,37.8206671913905,76.2,67.4,80.7,12.3
"41","Andrew Billings","LV",18,22,103.193810864738,37.8595739924487,76.2,67.4,80.7,12.2
"42","Derrick Nnadi","KC",14,17,102.513818754944,36.4305306319223,76.2,67.6,81.2,15.3
"43","Tedarrell Slaton","GB",13,17,102.37703672071,36.1604069178154,76.1,67,80.7,11.9
"44","Folorunso Fatukasi","JAX",15,19,102.82923218437,37.0744850732764,76.1,67.1,80.6,11.5
"45","Deadrin Senat","TB",12,15,102.353462306158,36.1143771557775,76,67.4,81.1,14.1
"46","Kenny Clark","GB",31,32,105.106671601976,43.1206857854259,75.9,69,81.5,19.7
"47","Bilal Nichols","LV",16,19,103.193810864738,37.8595739924487,75.9,67.5,80.9,13.3
"48","Bryan Mone","SEA",16,18,103.207626834719,37.890270518873,75.9,67.9,81.3,16.5
"49","Isaiah Buggs","DET",16,19,103.306237227369,38.1115118800044,75.8,67.4,80.8,12.7
"50","Kevin Givens","SF",10,10,102.247348779082,35.9090427743878,75.8,68.6,82.3,24.3
"51","Jay Tufele","CIN",14,15,103.014726775954,37.4680914224523,75.7,68.2,81.7,19.4
"52","Nicholas Williams","NYG",16,17,103.394980517787,38.3139365190453,75.7,68.2,81.6,18.9
"53","Rashard Lawrence","ARI",11,13,102.579232909468,36.561605600314,75.6,67.5,81.2,15.2
"54","Neville Gallimore","DAL",10,11,102.399138334928,36.2036995608228,75.6,67.9,81.7,18.9
"55","Armon Watts","CHI",22,24,104.336872840846,40.6987801861455,75.6,67.9,81,14.4
"56","Mike Pennel","CHI",11,12,102.602154735088,36.6078334390045,75.6,68,81.7,18.7
"57","Daron Payne","WAS",30,34,105.232712703433,43.5812244529371,75.6,67.4,80.1,8.9
"58","Jordan Davis","PHI",15,15,103.36656693593,38.2487738826429,75.6,68.6,82,22
"59","Christian Barmore","NE",12,12,102.889158990053,37.200378112903,75.5,68.4,82,22
"60","DeShawn Williams","DEN",12,13,102.911990900478,37.248656707754,75.5,67.9,81.5,17.8
"61","Leonard Williams","NYG",18,18,103.898379086733,39.5289051411063,75.5,68.6,81.8,21.1
"62","Solomon Thomas","NYJ",12,12,102.927926250928,37.2824563392371,75.5,68.4,82,21.7
"63","Larry Ogunjobi","PIT",18,21,103.922148298638,39.5893898280527,75.5,67.2,80.5,10.8
"64","D.J. Reader","CIN",9,9,102.388224616753,36.1823049397549,75.5,68.3,82.1,21.9
"65","Quinton Bohanna","DAL",9,10,102.399138334928,36.2036995608228,75.5,67.7,81.6,17.7
"66","Kentavius Street","NO",11,12,102.909121836083,37.2425803912562,75.4,67.7,81.4,16.7
"67","Nathan Shepherd","NYJ",11,14,102.927926250928,37.2824563392371,75.3,66.7,80.5,10.4
"68","Jordan Elliott","CLE",13,16,103.392201746568,38.3075490118439,75.2,66.7,80.3,9.7
"69","Otito Ogbonnia","LAC",12,16,103.252728473912,37.9909885362276,75.2,66.1,79.9,7.4
"70","Trysten Hill","DAL",7,7,102.399138334928,36.2036995608228,75.1,67.8,81.8,19.3
"71","Akeem Spence","SF",6,8,102.247348779082,35.9090427743878,75.1,66.7,80.8,12
"72","Justin Ellis","NYG",12,14,103.394980517787,38.3139365190453,75.1,67,80.7,11.5
