,displayName,defensiveTeam,x_stat,n_stat,a,b,BITE,BITE_LB,BITE_UB,BITE_probs
1,Kevin Byard,TEN,56,59,86.88853858,19.14493223,88.2,81,91.3,69.4
2,Adrian Amos,GB,41,46,83.39168587,16.87688881,88.1,78.9,90.3,48
3,Harrison Smith,MIN,42,44,85.51677797,18.21785997,87.5,80.3,91.4,65.2
4,Jessie Bates,CIN,38,42,85.71333377,18.34758263,87.1,78.5,90,43.4
5,Tyrann Mathieu,NO,40,48,87.95411515,19.90202606,86.5,75.7,87.7,14.3
6,Eddie Jackson,CHI,64,74,93.66502246,24.64869012,86.5,76.3,87.1,10.7
7,Jayron Kearse,DAL,32,34,86.34330759,18.77028426,86.3,78.7,90.5,48.5
8,Derwin James,LAC,67,72,94.97153575,25.944605,86.2,78.5,88.8,31.1
9,Rayshawn Jenkins,JAX,51,67,91.94061733,23.0739001,86.1,72.3,84.2,0.8
10,Jordan Whitehead,NYJ,46,56,91.65874032,22.82950038,85.8,74.5,86.3,5.6
11,Justin Simmons,DEN,23,29,85.17508973,17.99473727,85.7,74.9,87.9,14.6
12,Duron Harmon,LV,35,41,88.96463739,20.65250511,85.7,75.8,88,16.3
13,Jalen Thompson,ARI,56,58,94.62773469,25.59410194,85.5,78.9,89.4,39.6
14,Xavier Woods,CAR,48,51,93.27087563,24.27598133,85.3,77.9,89,30.6
15,Jimmie Ward,SF,7,8,82.56701706,16.38489444,84.5,76.2,90.1,34.4
16,Jonathan Owens,HOU,63,70,98.09689013,29.50973515,84.5,75.8,86.6,7.6
17,Devin McCourty,NE,45,48,95.13723668,26.11610419,84.3,76.8,88.1,19.2
18,Richie Grant,ATL,61,69,98.64748088,30.22405912,84.1,74.9,85.9,4
19,Donovan Wilson,DAL,54,67,97.46894538,28.73079497,84.1,72.3,83.9,0.5
20,Juan Thornhill,KC,31,37,92.30542186,23.39538342,84.1,74.2,86.6,6.7
21,Mike Edwards,TB,52,62,97.49515988,28.76259965,83.9,73.4,84.9,1.6
22,Jalen Pitre,HOU,54,73,98.09689013,29.50973515,83.8,69.7,81.5,0
23,Jaquan Brisker,CHI,51,62,97.79273156,29.12791162,83.6,72.7,84.3,0.8
24,Julian Love,NYG,54,57,98.77411914,30.39282665,83.4,76.3,87.2,11.7
25,Damar Hamlin,BUF,50,56,98.15199329,29.57985403,83.4,74.6,86,4.5
26,Ronnie Harrison,CLE,8,11,86.82639364,19.1018066,83.2,73.6,87.6,11.5
27,DeShon Elliott,DET,51,55,98.5823984,30.13799498,83.2,75.5,86.7,7.9
28,Terrell Edmunds,PIT,31,36,94.46808026,25.43371392,83.1,73.9,86.3,5.4
29,Kamren Curl,WAS,45,46,97.63027561,28.92748907,83.1,76.7,87.9,17.6
30,Myles Hartsfield,CAR,49,55,98.41849882,29.92322705,83.1,74.4,85.8,3.8
31,Bobby McCain,WAS,42,49,97.05253628,28.2334651,83.1,73.5,85.4,2.6
32,Budda Baker,ARI,69,80,101.5831186,34.68691853,83.1,73.2,84,0.6
33,Will Harris,DET,23,25,92.44193527,23.51722833,83.1,75.2,87.8,14.1
34,Vonn Bell,CIN,37,42,96.42279921,27.50800578,82.9,74.1,86.1,4.6
35,Marcus Williams,BAL,32,33,95.27098389,26.25578296,82.9,76,87.9,16.5
36,Jaylinn Hawkins,ATL,47,53,98.64748088,30.22405912,82.8,74,85.5,3
37,Talanoa Hufanga,SF,40,51,97.28874229,28.51377359,82.8,71.2,83.5,0.4
38,Grant Delpit,CLE,47,52,98.69171049,30.28280584,82.8,74.4,85.9,4.2
39,Kareem Jackson,DEN,51,60,99.50741968,31.40599624,82.7,72.8,84.3,0.9
